alpha,NDCG,LongTailCoverage,Coverage,Entropy
0.0,0.007896589932673942,1.0,1.0,6.861322878898093
0.2,0.009846783151810829,0.9991869918699188,0.9995039682539684,6.835842759622433
0.4,0.011085989172511853,0.9973983739837399,0.9984126984126984,6.765296717532246
0.6000000000000001,0.012027308042021507,0.9817886178861789,0.9888888888888889,6.651643440349611
0.8,0.015375998787329337,0.9347967479674797,0.960218253968254,6.508937450761981
1.0,0.015419340042349534,0.865040650406504,0.9176587301587302,6.34456272702908
1.2000000000000002,0.016492720632208017,0.7686178861788618,0.858829365079365,6.176932629614351
1.4000000000000001,0.01797059615399794,0.6580487804878048,0.7913690476190476,5.9999597420000494
1.6,0.019340763982931126,0.5486178861788618,0.7239087301587301,5.82501380069817
1.8,0.019337085886274537,0.4434146341463415,0.6593253968253967,5.660596432248976
2.0,0.019716387878552604,0.34991869918699187,0.6005952380952382,5.494290156084079
2.2,0.020725026865691266,0.2694308943089431,0.5485119047619047,5.34159593604654
2.4000000000000004,0.02080513961483694,0.20796747967479673,0.5040674603174603,5.1950607008653344
2.6,0.021950077026774255,0.1510569105691057,0.4581349206349207,5.053719725696779
2.8000000000000003,0.02320237617647828,0.10878048780487806,0.4249007936507937,4.922052927216766
3.0,0.025214674391578106,0.08569105691056911,0.3948412698412699,4.8040769842326805
3.2,0.024478088623366076,0.05739837398373985,0.3637896825396825,4.68294065563187
3.4000000000000004,0.024479351151965128,0.03902439024390243,0.34017857142857144,4.566704683888584
3.6,0.024521777373858945,0.02520325203252033,0.31190476190476185,4.462121448989349
3.8000000000000003,0.025179924975722533,0.01788617886178862,0.29117063492063494,4.36121975293431
4.0,0.026887237858410247,0.013008130081300815,0.27628968253968256,4.269359116415154
4.2,0.024961002497738912,0.01121951219512195,0.2618055555555555,4.1879060856883275
4.4,0.027244322941783937,0.0074796747967479675,0.24722222222222223,4.106753176231148
4.6000000000000005,0.025334538730363527,0.0035772357723577236,0.22976190476190478,4.029042895889573
4.800000000000001,0.025939524556407568,0.0019512195121951215,0.21587301587301586,3.955518635365975
5.0,0.025989503301447635,0.001138211382113821,0.20436507936507936,3.8829534135867774
5.2,0.02759780796378548,0.0003252032520325203,0.19623015873015873,3.8250673218337115
5.4,0.02654449372859278,0.0011382113821138211,0.1867063492063492,3.7691232194276765
5.6000000000000005,0.02701666894911921,0.0009756097560975608,0.17817460317460315,3.70594539000252
5.800000000000001,0.027758449278759968,0.0004878048780487805,0.16597222222222224,3.6559914417873913
6.0,0.02623364627390507,0.0003252032520325203,0.16170634920634921,3.6086097347481276
6.2,0.02819281873292978,0.0003252032520325203,0.15416666666666667,3.558840676218145
6.4,0.028227848781329123,0.00016260162601626016,0.15049603174603174,3.5147295920515162
6.6000000000000005,0.028941498373162993,0.0,0.1423611111111111,3.4742161751276646
6.800000000000001,0.028488367043570335,0.0,0.13710317460317462,3.4344186827823853
7.0,0.029218351839546203,0.0,0.13125,3.395066795478987
7.2,0.02805524756958259,0.0,0.12648809523809523,3.3556350155503543
7.4,0.028954160091868443,0.0,0.1251984126984127,3.327103300336637
7.6000000000000005,0.02872368519086716,0.0,0.1185515873015873,3.2855597895207267
7.800000000000001,0.028447958297734156,0.0,0.11488095238095239,3.2578897515603638
8.0,0.028756108743551133,0.0,0.11031746031746033,3.222807360238709
8.200000000000001,0.02842635753955087,0.0,0.10694444444444444,3.196207202433795
8.4,0.02896811147414141,0.0,0.10456349206349205,3.1707180500496657
8.6,0.028545464061743846,0.0,0.09920634920634921,3.143239360754696
8.8,0.028788921471968543,0.0,0.09851190476190477,3.1171850718882705
9.0,0.02819784459270998,0.0,0.09632936507936507,3.0942014960879187
9.200000000000001,0.028928402755673092,0.0,0.09295634920634921,3.069277096043762
9.4,0.02897817174540846,0.0,0.09206349206349207,3.0469254197881264
9.600000000000001,0.02891992269029986,0.0,0.08789682539682539,3.0262188629437077
9.8,0.029266845490481343,0.0,0.08601190476190476,3.007762208628846
10.0,0.028970005797844377,0.0,0.08452380952380953,2.991895255301457
20.0,0.029613291457245044,0.0,0.038789682539682534,2.5783098021535666
30.0,0.029344261400735816,0.0,0.0251984126984127,2.475898827268951
40.0,0.02902159142141238,0.0,0.018650793650793647,2.4376882144829457
50.0,0.029162035844080825,0.0,0.01617063492063492,2.4201891301795455
60.0,0.029144727000023306,0.0,0.014781746031746031,2.409740353873078
70.0,0.02895558385598025,0.0,0.013194444444444443,2.4004178117006147
80.0,0.028829146367706816,0.0,0.012103174603174602,2.3940400431219353
90.0,0.028830595597713997,0.0,0.01220238095238095,2.390188923175608
100.0,0.028857229685174134,0.0,0.011904761904761904,2.3850029843650566
